country,year,GDP,Unemployment,Interest_Rate,Debt,Working_Age_Pop,Inflation,Current_Account,Global_Oil
Germany,2005,2893393187361.87,11.193,0.0,0.0,66.6481280445416,1.54691114751329,4.64324145764123,116.54474163654557
Germany,2006,3046308753670.58,10.277,0.0,0.0,66.2934869710793,1.57742642840562,5.83661726884206,140.57525119034
Germany,2007,3484056680854.91,8.732,0.0,0.0,66.0234880594569,2.29834400700951,6.70574096490581,148.983609180963
Germany,2008,3808786022312.5,7.508,0.0,0.0,65.8696443375807,2.6283798163722,5.57681458234834,195.274434506963
Germany,2009,3479800820863.28,7.88,0.0,0.0,65.7212170370739,0.312739007368444,5.87415966958685,127.67050890395004
Germany,2010,3468154343000.01,7.043,0.0,0.0,65.7386429233445,1.1038103778926,5.77101102573257,166.65201477411526
Germany,2011,3824828563521.41,5.967,0.0,0.0,65.8994933869984,2.07517283735874,6.25886646333735,211.677798671128
Germany,2012,3597896500945.31,5.372,0.0,0.0,65.9715437998931,2.00848884782953,7.19271816687105,220.41245861719725
Germany,2013,3808086291482.36,5.316,0.0,0.0,65.9544693115349,1.50472330251882,6.72723104677662,220.237747103227
Germany,2014,3965800686309.79,4.979,0.0,0.0,65.8621937797938,0.906794000434214,7.19249005241927,203.16687450381
Germany,2015,3423568450957.03,4.612,0.0,0.0,65.7365353514053,0.514426137125455,8.10033539639848,116.88467731856996
Germany,2016,3537784107980.55,4.104,0.0,0.0,65.5385099359924,0.491747008445213,8.89985353214632,99.9999999999997
Germany,2017,3763092263752.95,3.781,0.0,0.0,65.2493405041228,1.50949485109622,8.08358573755333,122.7425668981605
Germany,2018,4052008447223.53,3.384,0.0,0.0,64.9876223341919,1.73216879766948,8.44474369079797,155.565059212108
Germany,2019,3957208055215.68,3.163,0.0,0.0,64.709009583285,1.44565976888253,7.88005874480123,142.88757825015574
Germany,2020,3940142541354.1,3.881,0.0,0.0,64.3935455490144,0.144877925813963,6.34985102790796,96.2593228900347
Germany,2021,4348297440387.53,3.594,0.0,0.0,64.007731691245,3.0666666666667,6.93113737824586,156.3461425646965
Germany,2022,4163596357879.39,3.12,0.0,0.0,63.6285624993021,6.87257438551096,3.88506689580802,231.3828646658915
Germany,2023,4525703903627.53,3.068,0.0,0.0,63.2943857808214,5.94643667725828,5.55668585897884,194.26053940002424
Germany,2024,4659929336890.62,3.406,0.0,0.0,62.8942524078782,2.25649814338757,5.66583562733218,191.77688801027324
India,1995,360281909643.489,7.608,15.4583333333333,47.4916413028303,58.4681391112119,10.2248861637544,-1.54413181166043,36.51207752578947
India,1996,392896866204.516,7.558,15.9583333333333,45.7233077028079,58.751339330383,8.97715233826453,-1.51595497295368,45.33193878772347
India,1997,415867563592.829,7.61,13.8333333333333,50.3654361276153,59.0516480610389,7.16425211462724,-0.713014326393888,45.14363585816453
India,1998,421351317224.941,7.639,13.5416666666667,50.3192181735145,59.3675103695515,13.2308389767977,-1.63832533358649,31.36656182286985
India,1999,458821052615.79,7.617,12.5416666666667,51.3529514384148,59.7005235536315,4.66982038037593,-0.703547232193242,42.71588215692125
India,2000,468395521654.458,7.624,12.2916666666667,55.0042464964554,60.0363292788794,4.00943591045191,-0.982342580017138,69.41210844837282
India,2001,485440139204.171,7.653,12.0833333333333,59.0179097968845,60.3721236017034,3.77929312235638,0.290495460210207,61.764241720543275
India,2002,514939140318.756,7.753,11.9166666666667,62.5527712945573,60.7034726242062,4.29715203929563,1.37093793900847,61.907585382371835
India,2003,607700687237.318,7.68,11.4583333333333,62.1900538960464,61.0366264092953,3.8058589952885,1.44355773291234,66.31480412915562
India,2004,709152728830.775,7.625,10.9166666666667,62.5929767433885,61.3938727280818,3.76725173477515,0.110018010197153,81.92991415763237
India,2005,820383763511.445,7.552,10.75,62.2265261001737,61.7634053727483,4.24634362031923,-1.25350400207393,116.54474163654557
India,2006,940259888787.721,7.552,11.1875,59.6667302762217,62.1494488498081,5.79652337561633,-0.988988302952292,140.57525119034
India,2007,1216736438834.96,7.561,13.0208333333333,57.4975363892468,62.5476673904344,6.37288135593232,-0.66371764877261,148.983609180963
India,2008,1198895139005.92,7.656,13.3125,57.2922142809949,62.9374830161807,8.34926704907581,-2.58337749259838,195.274434506963
India,2009,1341888016994.9,7.664,12.1875,55.2564461117969,63.3246171976748,10.8823529411764,-1.95146209111802,127.67050890395004
India,2010,1675615519484.96,7.652,8.33335,51.5919103003897,63.7171853960836,11.9893899204244,-3.25348368945179,166.65201477411526
India,2011,1823051829894.55,7.616,10.1666666666667,51.5565536600977,64.1076284698584,8.9117933648337,-3.42928468606061,211.677798671128
India,2012,1827637590410.41,7.666,10.6041666666667,50.6780305618952,64.4911322144707,9.47899691419798,-5.00488971805303,220.41245861719725
